song_id,artist,topic_0,topic_1,topic_2,topic_3,topic_4,topic_5,topic_6,topic_7,topic_8,topic_9,topic_10,topic_11,topic_12,topic_13,topic_14,topic_15,topic_16,topic_17,topic_18,topic_19
0ed8ed3a0c5f61aa,Oxxxymiron,0.34811269656439037,0.00017794257722675402,0.06444323700486057,0.00018403448905295917,0.0999058319358725,0.0011039152557337818,0.00015370230283380312,0.09298808717628201,0.0001873636761633858,0.0002405983646789431,0.0800741078017028,0.07336880889371016,0.00013850074670740498,0.029563782243638786,0.08846883328245483,0.05602013598837838,0.027975713367629686,0.036596595630694374,0.00016670228519010096,0.00012941041279839797
fec7f2ccd038fa22,Oxxxymiron,0.31709502374976145,0.0006294428837918665,0.22414592159757435,0.0006509919989553221,0.0011206499147195664,0.003973176483266808,0.0005436968339932999,0.12382213087000923,0.277228191074207,0.04302700743695351,0.0017783881812019054,0.0006423781969387726,0.0004899237849061241,0.00046849003732022304,0.0010599783268728398,0.0008048159789659099,0.0009461379436334841,0.0005262042687023668,0.0005896821641419539,0.000457768274084026
0f5ba991cb041b00,Oxxxymiron,0.26678273337483954,0.05909155823312823,0.0006759085118606754,0.02409071788033677,0.0005682454213391412,0.045952822045409916,0.03226981727537964,0.08763914405351515,0.00033606754210600034,0.0004315526889893696,0.3847519660457431,0.04980264468009467,0.00024842383946177863,0.00023755550985276106,0.000537479939928246,0.0004080950913483488,0.045377320632425305,0.00026682042702238314,0.00029900795054799823,0.00023211885667100235
a9f435d03e291f8d,Oxxxymiron,0.17652607169574352,0.00010904377202200843,0.11846181633260067,0.00011277692008301706,0.0001941426166608693,0.04211233622330774,9.41892580734496e-05,0.29334253918196135,0.00011481705479381939,0.00014743944139125747,0.19063755972633317,0.03248382868402947,8.487369742283247e-05,0.023194190289444732,0.0001836294407500706,0.007739077690302984,0.03208874305017811,9.115886560342207e-05,0.0721813238781935,0.010100442181103989
ae32924eca8b608d,Oxxxymiron,0.08052236512871441,0.0001709700575464797,0.665963762843994,0.00017682325980312487,0.00030439629056383186,0.055383346466305494,0.0001476796155739308,0.09085200643563271,0.00018002198901967677,0.00023117069000918556,0.08105075284921585,0.0001744835737903612,0.0001330737128741819,0.00012725185544265084,0.0002879127251555775,0.006422700767103755,0.0002569911570439374,0.00014292825522442976,0.01734702273175977,0.00012433959522665413
487932c9c6d6747a,Oxxxymiron,0.06809507632724714,0.0003901645881059502,0.9191957737597234,0.00040352196488784535,0.000694644303245112,0.0024414750163074873,0.0003370143031104378,0.0026919372105650235,0.00041082169987835554,0.0005275462426578121,0.0011019470883052232,0.00039818263469137136,0.0003036827067915812,0.00029039683811667914,0.0006570341239725884,0.0004988708223655278,0.0005864694466890264,0.00032617140981241777,0.00036551862199408873,0.0002837508915329628
8d186f43d7e9fc93,Oxxxymiron,0.05037483112604329,0.00041913755365845516,0.2738470184884605,0.0004334868467078574,0.0007462322146407924,0.0026480269061050937,0.023285491126693026,0.19032542158320362,0.04256953655077538,0.0840962824859212,0.029579251164138298,0.00042775103522178684,0.035571501133541066,0.0003119612526044269,0.0007058290003245038,0.1427551675514776,0.10053622548923163,0.020669365275482212,0.00039266145226554477,0.00030482176350370464
1d3ee42ba05dbba8,Oxxxymiron,0.409705739196969,0.12617476620323792,0.06879923675782344,0.0002239240771386123,0.03066606714984281,0.15028946501667714,0.0001870173632349871,0.07286479518035355,0.00022797486478471588,0.00029274824970978877,0.08041459536002796,0.058315818818804585,0.00016852085985337401,0.00016114821911818715,0.0003646051142548495,0.0002768354971534009,0.00032544637499437405,0.0001810003789585563,0.0002028351063343203,0.0001574602107283823
b977822ea91757bf,Oxxxymiron,0.000614114797120101,0.00013392552346337395,0.00028358911768794077,0.0001385104972049731,0.00023844130644682017,0.0008147408859095971,0.0001156814819614826,0.0008925408371368238,0.0001410161478035402,0.5885310105248602,0.02342741723197395,0.27956056272855223,0.03221847824896503,9.967985419066675e-05,0.00022553016346490585,0.00017123936943919455,0.06616243643849785,0.00011195961140596727,0.0001254656948832257,0.005993659539032065
854ca75643d935fb,Oxxxymiron,0.15855845518302292,0.014924686588510943,0.11723037982615538,0.011849434646807835,0.017950827102402638,0.05466309320924115,8.980658177275912e-05,0.10480969712194575,0.013034608613799948,0.018651021412390643,0.2511391953697267,0.04219975966119462,8.09244720647246e-05,7.738409335069544e-05,0.010526388632676863,0.026666591674253073,0.10437802543180295,0.01236646297265017,0.04072764430986777,7.561309636247638e-05
