topic_id,c_v_coherence
mean,0.3601871590856668
0,0.37577423094353735
1,0.33325322351144054
2,0.3645054162118503
3,0.32306817041721697
4,0.4337516835557088
5,0.4956276414261809
6,0.28587604183278137
7,0.3738868638011128
8,0.33061843404085184
9,0.42453712632660257
10,0.4001734494840288
11,0.343453475528997
12,0.40330880941603436
13,0.3147742351923739
14,0.4270265420526873
15,0.3395661934139375
16,0.2734102889995874
17,0.27969468279520837
18,0.40122621756263327
19,0.28021045520056537
