artist,n_songs,n_tokens,ttr,hapax_ratio,mat_density,sentiment_lex,top_emotions,year_min,year_max
МНОГОТОЧИЕ BAND,4,870,0.6465734265734266,0.5136363636363637,0.0015384615384615385,-0.0013986013986013977,"joy:24,sadness:22,fear:4",,
Михаил Шуфутинский,4,796,0.39195979899497485,0.21105527638190955,0.005025125628140704,0.035175879396984924,joy:12,,
Многоточие Band,4,802,0.5574257425742575,0.37346534653465346,0.0016666666666666668,0.04298679867986799,"joy:30,sadness:18,anger:2",,
Неизвестен,4,1265,0.41729602517446396,0.2480704697986577,0.005878123061305059,0.02393282728138942,"joy:30,fear:5,sadness:4",2021.0,2021.0
Опасные ди-джеи,4,862,0.4606408491362082,0.2776568814673358,0.010403250877115067,0.015188524226140249,"joy:6,surprise:2",,
Песочные Люди,4,2245,0.5871600384787283,0.44519120184518635,0.001227166567158375,4.672679627812631e-06,,2009.0,2009.0
РоМД,4,1554,0.6878891440145317,0.5645553231838277,0.00675593280566717,-0.005271900467509336,"sadness:17,joy:10,anger:4",,
Серь,4,876,0.37746622961772136,0.15138735202622294,0.0,0.00864354761258534,"joy:12,anger:6,surprise:2",,
Сокира Перуна,4,764,0.610032405663369,0.42179747118553695,0.0010204081632653062,0.0035835913848083576,"fear:6,joy:5,sadness:3",1998.0,2014.0
Big Black Boots,3,1803,0.5740432612312812,0.43261231281198004,0.0016638935108153079,-0.0016638935108153079,"joy:9,sadness:9,anger:3",2003.0,2003.0
Big Russian Boss,3,1314,0.47412274255913633,0.3412255849457246,0.009671267851039772,0.010345216312388933,"joy:19,fear:7,sadness:6",2014.0,2015.0
Czar,3,1510,0.5425268373245252,0.4146863626632413,0.026240939535737223,-0.002890173410404624,"anger:3,fear:2,joy:1",,
DOPECLVB,3,1477,0.5644101761786575,0.4127859345832494,0.014851471266440578,0.005229092796322989,"joy:8,sadness:4,anger:3",2014.0,2014.0
Killah TVETH,3,466,0.6889719647152267,0.5349948498600902,0.028487711232918236,-0.0026163272064911405,"joy:5,sadness:4,disgust:1",,
Neiz,3,1032,0.5058139534883721,0.31976744186046513,0.0,0.0,,2025.0,2025.0
TALIBAL,3,1019,0.6174294081044819,0.46788652489896726,0.0018441713472398646,-0.001331441939176746,"fear:14,joy:13,sadness:5",,
obladaet,3,622,0.5566324985003904,0.4199231427471399,0.016911250873515023,0.028381906199874723,"joy:5,fear:3",,
Ак,3,1213,0.46767382787272127,0.3449210657319794,0.017841125594976987,0.01835197445309102,"joy:23,sadness:7,fear:2",,
Ак 47,3,970,0.5541241765423394,0.4120054984466357,0.010673089111420966,0.01764761768135677,"joy:11,anger:2,sadness:2",,
Алена Апина,3,465,0.4215294637002329,0.26606192381373306,0.0,0.01880420600199555,"joy:15,sadness:5,anger:1",1994.0,1994.0
Ант (25-17),3,1086,0.5850730484509028,0.4635867507474573,0.0,0.014178841408483805,"joy:7,fear:2,sadness:2",,
Барды,3,572,0.509485338406461,0.34763904441955956,0.0,0.015370124113475178,"joy:8,anger:3,disgust:2",1990.0,2011.0
Ваня Воробей,3,586,0.4801809146672878,0.3277428371767994,0.0,0.0036299402127494365,joy:2,2013.0,2013.0
Егор Крид/KreeD,3,679,0.27643242668368295,0.13138266287345013,0.0,0.027955474019125612,"joy:18,sadness:6,surprise:3",,
Иезекиль 25/17,3,1001,0.4827771864256574,0.34704912309117425,0.0,-0.00025708530071634944,"joy:3,anger:1,sadness:1",,
Клоунеско,3,1567,0.5108711950817214,0.3368789673614235,0.004092317688808917,0.012570600289898535,"joy:14,anger:2,sadness:2",2005.0,2005.0
Неизвестный исполнитель,3,666,0.47519841269841273,0.3399170274170274,0.008928571428571428,0.019841269841269837,"joy:20,fear:6,anger:1",,
Нюша,3,684,0.5307017543859649,0.34649122807017546,0.0,0.08771929824561403,joy:51,,
Оксана Дроздова,3,317,0.7118345991469915,0.549038675586695,0.0,0.05902173498335231,"joy:11,surprise:3,sadness:2",,
Песни нашего века,3,283,0.6628639334521688,0.4715785304020598,0.0,0.017389582095464453,"joy:10,anger:3,sadness:2",,
Полюса,3,388,0.6080230449162488,0.4401116682670081,0.0,0.011966997403890609,joy:2,2010.0,2010.0
Рэм дига,3,572,0.4749995380618554,0.31200053708008285,0.0,0.037410768948394735,"joy:11,sadness:1,surprise:1",,
ТРИАГРУТРИКА,3,1864,0.655575391925202,0.539286444188194,0.009557110817738482,0.01023480893623445,"joy:14,fear:6,anger:5",,
Тонни Раут,3,1083,0.5562009375274509,0.4210690128810202,0.009746868729044527,0.010493451111787998,"joy:12,fear:8,anger:5",,
03. kavabanga,2,616,0.6396103896103896,0.4837662337662338,0.0,0.01948051948051948,"joy:14,fear:6,sadness:2",,
13 Фронт,2,710,0.4507042253521127,0.30422535211267604,0.0,0.030985915492957747,"joy:30,sadness:22,fear:2",,
1Kla$,2,1332,0.4744744744744745,0.33633633633633636,0.028528528528528527,-0.0045045045045045045,"anger:2,fear:2",,
1KlaS.Drago.Zarj.,2,1384,0.45664739884393063,0.31647398843930635,0.02745664739884393,-0.004335260115606936,"anger:2,fear:2",,
1класс дисс на серегу,2,436,0.40825688073394495,0.2018348623853211,0.022935779816513763,0.0,,,
25-17,2,576,0.6525970414859303,0.4937159381603826,0.0,0.01256812367923479,"joy:7,sadness:3,anger:1",,
25/17 п.у. Саграда,2,595,0.6872500751219286,0.5366421653607008,0.0,0.01023391812865497,"joy:9,sadness:4,anger:2",,
2H Company,2,1187,0.5846752214399273,0.47599931864637746,0.0008403361344537816,0.0,"joy:10,sadness:10,anger:4",,
Araz-Andzadz orer,2,782,0.24808184143222506,0.01278772378516624,0.0,0.017902813299232736,"joy:24,sadness:4",,
Bad Balance,2,1055,0.467063862759155,0.3470668317727908,0.0,0.01058706813524219,"joy:10,anger:5,surprise:2",1999.0,1999.0
Basic Boy,2,409,0.5590177673483071,0.4305732484076433,0.0031847133757961785,0.027070063694267517,"joy:16,fear:2",,
Bassboosted,2,1116,0.4283154121863799,0.2724014336917563,0.0035842293906810036,0.010752688172043012,"fear:8,joy:8,disgust:2",,
ChiCo,2,1178,0.601018675721562,0.44142614601018676,0.001697792869269949,0.013582342954159592,"joy:10,sadness:6,anger:2",,
D.I.P. PROJECT,2,142,0.7887323943661971,0.647887323943662,0.0,0.014084507042253521,"joy:6,sadness:2",,
DJ,2,452,0.5752212389380531,0.38495575221238937,0.0,0.035398230088495575,"joy:26,sadness:6,fear:4",,
Defro,2,510,0.7411764705882353,0.611764705882353,0.0,0.00784313725490196,"joy:4,sadness:4",,
Dj DeD_MoroZ,2,514,0.25680933852140075,0.1556420233463035,0.0,0.07003891050583658,joy:36,,
Dotsfam,2,922,0.49891540130151846,0.38177874186550975,0.0,0.04121475054229935,"joy:18,anger:2",,
Drago feat 1.Kla$ and Zarj,2,1332,0.4744744744744745,0.33633633633633636,0.028528528528528527,-0.0045045045045045045,"anger:2,fear:2",,
Drago feat st1m,2,948,0.47257383966244726,0.37130801687763715,0.006329113924050633,0.03164556962025317,"joy:4,sadness:2",,
Drago feat Крипл,2,744,0.5483870967741935,0.41935483870967744,0.010752688172043012,0.013440860215053764,"joy:14,disgust:6,fear:2",,
Drago feat.,2,544,0.49264705882352944,0.3382352941176471,0.0,0.007352941176470588,joy:4,,
Drago x,2,238,0.6302521008403361,0.44537815126050423,0.0,0.0,,,
Drago.,2,544,0.49264705882352944,0.3382352941176471,0.0,0.007352941176470588,joy:4,,
Elton John,2,532,0.6541353383458647,0.47368421052631576,0.0,0.007518796992481203,"joy:4,surprise:2",2007.0,2007.0
G-Nise,2,650,0.44,0.31384615384615383,0.003076923076923077,0.015384615384615385,"joy:12,sadness:8,fear:2",,
Gago Drago|Эскей,2,646,0.5386996904024768,0.3993808049535604,0.0,0.009287925696594427,"sadness:8,joy:6,fear:2",,
IVAN DRAGO,2,974,0.20739219712525667,0.045174537987679675,0.0,-0.006160164271047228,"fear:16,anger:2",,
Integra,2,360,0.42777777777777776,0.23333333333333334,0.0,0.0,"sadness:6,joy:2",,
