node,community,degree,weighted_degree,song_count,corpus_artist
Йорш,12,1,0.21037931267040744,2,True
Гречка,12,1,0.20436666820574237,10,True
Гриби,13,2,1.4739096487870507,2,True
Ми типа гриби,13,2,1.4563004609016912,1,True
Грибы,13,3,1.409400625861407,15,True
Алла Пугачева,13,1,0.3230310636755228,1,True
TROLLFACE,14,6,3.7640581895983085,1,True
трол фейс,14,6,3.7640581895983085,1,True
Коля RotoFF,14,5,3.423462694411304,1,True
ROTOFF,14,5,2.884935681637821,1,True
Неизвестен,14,5,2.469188996888427,3,True
Паук,14,5,1.9746217761367886,15,True
LOUIS PASTEUR,14,2,1.3312400262375106,1,True
Louis Pasteur,14,2,1.2819941286612193,1,True
Русский,15,1,0.35201483090344593,12,True
Патриотические. Русские народные военные песни.,15,1,0.35201483090344593,1,True
IC3PEAK,16,0,0.0,11,True
группа Весна,17,0,0.0,1,True
Полюса,18,2,1.222256600181742,3,True
ПОЛЮСА,18,2,1.19121061925417,1,True
Батарея,18,3,0.7203036776416301,10,True
Браток,19,0,0.0,10,True
Буерак,20,0,0.0,10,True
Animal Jazz,21,2,1.2954856848201257,1,True
Анимал джаз,21,2,1.2954856848201257,1,True
Домино,21,5,1.2524477100512894,10,True
абстрактный бомж,22,2,1.321958122200011,1,True
zgheilmyfrr,22,2,1.3217721941763938,1,True
Монеточка,22,4,1.0915898719763844,10,True
Сфера,23,0,0.0,10,True
Четыре таракана,24,2,1.4358023262433284,1,True
Тараканы,24,2,1.4319125005374607,1,True
Тараканы!,24,2,0.8852147952399771,10,True
Чарли Z,25,0,0.0,10,True
EK-Playaz,26,3,1.584394214481684,9,True
Mrs. DvaTree,26,2,1.4617154011666638,1,True
ака47 ek playaz,26,2,1.2899884691002006,1,True
Ek Playaz,26,1,0.3842728898336341,1,True
┴═╦╕Витя АК-47,27,0,0.0,1,True
Face,28,0,0.0,5,True
Барды,29,5,2.381965194203156,3,True
Алые паруса,29,4,2.3376875350867454,5,True
Алые Паруса.,29,4,2.183664916690396,1,True
Песни орлятского круга,29,5,1.6751279068806486,1,True
Валерия Лесовская,29,5,1.5141239189762417,1,True
Барды.,29,2,1.0245701028195295,1,True
"""Алые паруса""",29,2,0.51232939017155,1,True
Юлия Самошкина,29,1,0.25681827856098927,1,True
▂▃▅▆▇the Chemodan,30,0,0.0,1,True
Любэ,31,0,0.0,5,True
♡ Акула ♡,32,0,0.0,1,True
❡АК-47,33,0,0.0,1,True
ATL,34,0,0.0,4,True
Виктория Дайнеко и Корни,35,1,0.9970036183519845,4,True
Вика Дайнеко и Корни,35,1,0.9970036183519845,3,True
Красная шапочка,36,11,10.33984079248437,4,True
Детские песни,36,7,6.674429872975146,2,True
к/ф Красная Шапочка,36,6,5.786492851968531,2,True
Красная Шапочка,36,6,5.725335479528476,1,True
Песня Красной Шапочки,36,6,5.725335479528476,1,True
:)),36,6,5.627760249853925,1,True
Красная шапка,36,5,4.881338744872841,1,True
из к/ф,36,5,4.88133874487284,1,True
про Красную Шапочку,36,5,4.88133874487284,1,True
˜”*°•.☆ааааааааа!!!,36,5,4.778780364699734,1,True
Песни из детских фильмов,36,5,4.714418628483422,1,True
DJ Little Red Riding Hood,36,5,4.210006168445638,1,True
Лизоркин,37,0,0.0,4,True
Сокира Перуна,38,3,1.0443287977442373,4,True
Скрябін,38,3,0.7622652596524766,1,True
Нежеголь,38,2,0.7168293215551019,1,True
Антонина Матвиенко,38,2,0.4907710574212013,1,True
О. Васильчак та С.Роговський,38,1,0.30038169696829703,1,True
9 ВАЛ,38,1,0.2986119814521137,1,True
Big Black Boots,39,0,0.0,3,True
Big Russian Boss,40,0,0.0,3,True
секс on line веб камера,41,7,3.1595033887768222,1,True
порнофильм полиция маями,41,7,3.060606197734632,1,True
порнофильм - екатерина - императрица,41,7,3.01785433322267,1,True
американские сайты с порнофильмами,41,7,2.7638243221476064,1,True
длиные порно ролики,41,7,2.628881228562353,1,True
вудман,41,5,2.268663127995587,1,True
порнофильм приличный для мужа,41,5,2.0362231795200323,1,True
снятся в порнофильме,41,5,1.406740830513708,1,True
Апина,42,3,2.2288123025816113,1,True
Алёна Апина,42,3,2.2219856404097817,2,True
Алена Апина,42,3,1.9842566279976965,3,True
Владимир Трошин,42,5,1.5800492222673492,1,True
Раиса Неменова,42,1,0.23186032108365506,1,True
Перевалов Геннадий,42,1,0.20467612131379476,1,True
Ваня Воробей,43,2,1.9111016635728117,3,True
ЗОЖ,43,2,1.8424574872793467,1,True
Воробей,43,2,1.8380638604693784,1,True
анна ривелотэ,44,0,0.0,1,True
витос,45,0,0.0,1,True
Оксана Дроздова,46,0,0.0,3,True
многоточие,47,3,1.592527080126334,3,True
"Зарина, Многоточие и Корни",47,2,0.8213026690719649,1,True
[I love [Music ❤ ],47,1,0.7618159765918872,1,True
Loc-Dog,48,0,0.0,2,True
Madwayz LOC,49,0,0.0,2,True
Mary Gu,50,0,0.0,2,True
Rido,51,0,0.0,2,True
SUPERIOR.CAT.PROTEUS,52,0,0.0,2,True
Shot,53,0,0.0,2,True
T.A. Yanix,54,1,0.9977188758931596,2,True
#SWAGGAЖОПС,54,1,0.9977188758931596,1,True
dom!No,55,1,0.49845965768676437,2,True
не ну это пиздец песня,55,1,0.49845965768676437,1,True
Ака-47,56,0,0.0,2,True
Игорь Белый,57,2,1.9816107426376735,2,True
Аля Кудряшова,57,2,1.9781568706036172,1,True
Аля Кудряшева,57,2,1.9669910044066021,2,True
Армия брат,58,1,0.996225322354413,2,True
Армейская,58,1,0.996225322354413,1,True
Бьянка,59,1,0.5613735421348625,2,True
БьЯНК@,59,1,0.5613735421348625,1,True
Песни нашего века,60,3,2.548799785527887,1,True
Квартет физфака пу Сергея Никитина,60,3,2.506083988906978,1,True
8 Вадим Мулерман,60,3,2.496709423013816,1,True
Вадим Мулерман,60,3,2.4565564465793774,2,True
Вадим Сажин,61,3,2.0535632818882528,2,True
Праздничный хор,61,3,1.9150355023370582,1,True
Хор Минского Свято-Елисаветинского монастыря. ),61,3,1.9150355023370582,1,True
ВАДИМ САЖИН,61,3,1.714545176626462,1,True
Витос,62,0,0.0,2,True
Витоса,63,2,0.7552583114262091,2,True
Rigos,63,1,0.5548912941284228,1,True
Гагарина Полина,64,1,0.9918540651753266,2,True
Полина Гагарина,64,1,0.9918540651753266,1,True
Давид Тухманов,65,0,0.0,2,True
Дюна,66,0,0.0,2,True
Звери,67,1,0.9921648834992307,2,True
●,67,1,0.9921648834992307,1,True
Зимавсегда,68,0,0.0,2,True
Игорь Растеряев,69,0,0.0,2,True
Ирина Туманова,70,0,0.0,2,True
МНОГОТОЧИЕ BAND,71,0,0.0,2,True
Майя Кристалинская,72,1,0.8882516580659549,2,True
Кристаллинская Майя,72,1,0.8882516580659549,1,True
Мастер,73,0,0.0,2,True
Ot Vinta!,74,3,2.981683879187666,1,True
Ot vinta,74,3,2.981683879187666,1,True
От Вінта,74,3,2.9766227544130275,2,True
От Винта,74,3,2.9753994708901303,1,True
Очередной MC,75,0,0.0,2,True
Доктор Айболит,76,2,1.9863172782669363,1,True
реги,76,2,1.9863172782669363,1,True
Регги,76,2,1.9726345565338752,2,True
Русич,77,0,0.0,2,True
Сатана Печёт Блины,78,1,0.6884738501004012,2,True
сатана печет блины,78,1,0.6884738501004012,1,True
Гнойный,79,3,2.912427703827044,1,True
Flowdan,79,3,2.9091002127583545,1,True
Redo,79,3,2.9091002127583545,1,True
Соня Мармеладова,79,3,2.8979329670615908,2,True
Чичерина,80,1,0.9892855637350016,2,True
